2-С4А;2-С4А ~ Внутриплощадочные электрические сети
2-С4Б;2-С4Б ~ Внеплощадочные электрические сети
2-С6А;2-С6А ~ Технологические коммуникации
3;MYKS - Muyunkun South | 3 ~ Общежитие для рядового состава на 100 человек
3.1;3.1 ~ Общежитие для рядового состава на 100 человек
30;30 ~ Парковка на 30 лег машнину | 30. Пешеходный тротуар на уч №2 Торткудук мест Моинкум
31;31. Реконструкция гид сетей распределения промыш растворов мест Моинкум. Разработка средств защиты трубпр-в.
32;32. Строительство гид сетей трубопроводов распр-я пром растворов к блокам MSU-19, MSU-21, MSU-23 и MSU-25 на уч №1 Южный мест Моинкум
33;33. Нестандартное оборудование на участке №1 Южный месторождения Моинкум - Non-standard equipment at Site № 1 South, Muyunkum Deposit
34;34. Нестандартное оборудование на участке №2 Торткудук месторождения Моинкум - Non-standard equipment at Site № 2 Tortkuduk, Muyunkum Deposit
35;35. Строительство гид сетей трубопроводов распр-я пром растворов к блоку MSU-27 трубопроводной сети на уч №1 Южный мест Моинкум
36;36. Реконструкция секции 500 ЦППР участка №2 Торткудук мест. Моинкум - Reconstruction of section 500 of the treatment workshop at Site № 2 Tortkuduk of Muyunkum deposit
37;37. Реконструкция объектов на промплощадке участка №2 Торткудук мест Моинкум - Reconstruction of objects at TKDS
38;38. Строительство гид сетей распред промыш растворов к блокам MSU-42,44,46,48,50,52,54,56,58,60,68 на уч №1 Южный Моинкум
39;39. Строительство гид сетей трубопроводов распред промыш растворов к блокам MSU-57,59,61,63 на уч №1 Южный Моинкум
3A;3А ~ Общежитие для рядового состава на 100 человек (2 очередь)
3A.1;3А.1 ~ Общежитие для рядового состава на 100 человек (2 очередь)
3-B01;3-B01 ~ Камера воздушного клапана TN1-B01
3-B02;3-B02 ~ Камера воздушного клапана TN1-B02
3-D01;3-D01 ~ Камера сливного клапана TN1-D01
3-D03A;3-D03A ~ Камера воздушного клапана TN1-D03A
3-K01;3-K01 ~ Камера распределения TN1-M01
3-K02;3-K02 ~ Камера распределения TN1-M02
3-K03;3-K03 ~ Камера распределения TN1-M03
3А;3А ~ Общежитие для рядового состава на 100 человек (2 очередь)
3А.1;3А.1 ~ Общежитие для рядового состава на 100 человек (2 очередь)
4;CAPB - Transshipment base | 4 ~ Столовая на 330 посадочных мест
40;40. Строительство гид сетей трубопроводов распред промыш растворов к блокам MSU-39,41,43,45 на уч №1 Южный Моинкум
